Basic Physics x, Basic Physics y, Baseball Drag Physics x, Baseball Drag Physics y, Wiffleball Drag Physics x, Wiffleball Drag Physics y 
0,1.83,0,1.83,0,1.83
1.788,1.732,1.76576,1.732,1.64446,1.732
3.576,1.536,3.50984,1.53593,3.16751,1.53557
5.364,1.242,5.23275,1.2416,4.58641,1.23941
7.152,0.85,6.93502,0.848662,5.91492,0.841304
8.94,0.36,8.61713,0.356651,7.16419,0.338086
10.728,-0.228,10.2796,-0.235043,8.34339,-0.274501
12.516,-0.914,11.9228,-0.927173,9.46015,-1.00194
14.304,-1.698,13.5472,-1.72064,10.5209,-1.85113
16.092,-2.58,15.1533,-2.61648,11.5312,-2.8307
17.88,-3.56,16.7414,-3.6159,12.4956,-3.95135
19.668,-4.638,18.312,-4.72027,13.4183,-5.22639
21.456,-5.814,19.8654,-5.93113,14.3027,-6.67242
23.244,-7.088,21.402,-7.25018,15.152,-8.31033
25.032,-8.46,22.9222,-8.67934,15.969,-10.1667
26.82,-9.93,24.4264,-10.2207,16.7559,-12.2758
28.608,-11.498,25.9148,-11.8766,17.5151,-14.6826
